"feature","score","direction","type","gene","overall.rank","type.rank","direction.rank"
"ge.INHBC",0.000537050986404292,"greater","ge","INHBC",5583,4239,3152
"ge.C2ORF72",0.000538881303269882,"less","ge","C2ORF72",5584,4240,2819
"ge.ATXN7L3",0.000539281386875394,"greater","ge","ATXN7L3",5585,4241,3153
"ge.ABTB2",0.000539360828655928,"less","ge","ABTB2",5586,4242,2820
"ge.GRN",0.000540579361170158,"less","ge","GRN",5587,4243,2821
"ge.H2AFX",0.000540627834714953,"greater","ge","H2AFX",5588,4244,3154
"cn.YTHDF1",0.000541579351036439,"less","cn","YTHDF1",5589,1732,2822
"ge.IQCK",0.000542325153882413,"less","ge","IQCK",5590,4245,2823
"ge.PGBD1",0.000543155960163328,"greater","ge","PGBD1",5591,4246,3155
"ge.PPP2R5C",0.000543183747019875,"greater","ge","PPP2R5C",5592,4247,3156
"ge.LHFPL4",0.000543190502857963,"greater","ge","LHFPL4",5593,4248,3157
"ge.TAS2R5",0.000543599499871898,"greater","ge","TAS2R5",5594,4249,3158
"ge.RAD23B",0.000543693429481796,"less","ge","RAD23B",5595,4250,2824
"ge.MDN1",0.000544660600893838,"greater","ge","MDN1",5596,4251,3159
"cn.MIR645",0.000544668557295077,"less","cn","MIR645",5597,1733,2825
"cn.MIR1302.5",0.000544668557295077,"less","cn","MIR1302.5",5597,1734,2826
"cn.CHRNA4",0.000545366904850934,"less","cn","CHRNA4",5598,1735,2827
"ge.MTRF1",0.000546550296985831,"greater","ge","MTRF1",5599,4252,3160
"ge.DEF8",0.000546583621912931,"less","ge","DEF8",5600,4253,2828
"cn.PCDHGC3",0.000546839705166211,"less","cn","PCDHGC3",5601,1736,2829
"cn.PCDHGC4",0.000546839705166211,"less","cn","PCDHGC4",5601,1737,2830
"cn.PCDHGC5",0.000546839705166211,"less","cn","PCDHGC5",5601,1738,2831
"cn.ZNF275",0.000547338395032336,"less","cn","ZNF275",5602,1739,2832
"ge.SUPT20H",0.000547458285890605,"greater","ge","SUPT20H",5603,4254,3161
"ge.VPREB1",0.000547568189845216,"greater","ge","VPREB1",5604,4255,3162
"cn.NPR3",0.000548174570935801,"less","cn","NPR3",5605,1740,2833
"cn.SUB1",0.000548174570935801,"less","cn","SUB1",5605,1741,2834
"ge.PAMR1",0.00054837854986394,"less","ge","PAMR1",5606,4256,2835
"ge.RIC8B",0.000551076781761219,"greater","ge","RIC8B",5607,4257,3163
"cn.MIR548P",0.000551098235709013,"less","cn","MIR548P",5608,1742,2836
"cn.ST8SIA4",0.000551098235709013,"less","cn","ST8SIA4",5608,1743,2837
"ge.FBLL1",0.000551384011506421,"greater","ge","FBLL1",5609,4258,3164
"ge.MCM5",0.000551399698764019,"greater","ge","MCM5",5610,4259,3165
"cn.C7",0.000551706596086745,"less","cn","C7",5611,1744,2838
"ge.VDR",0.000552205380967863,"less","ge","VDR",5612,4260,2839
"cn.ELMO2",0.000552807775789307,"less","cn","ELMO2",5613,1745,2840
"cn.OCSTAMP",0.000552807775789307,"less","cn","OCSTAMP",5613,1746,2841
"cn.SLC13A3",0.000552807775789307,"less","cn","SLC13A3",5613,1747,2842
